,Year of manufacture,Kilometer,Previous owners,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (Â£)
0,2000,99800,3,251,1781,4,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,14785
1,1979,82000,6,127,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,21321
2,1990,201000,3,147,2849,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,23061
3,1981,60000,3,205,2906,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,126183
4,1966,161000,5,150,2496,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,46122
5,2003,110600,2,396,4196,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,21705
6,2018,1247,2,603,5935,12,2,Right (RHD),Manual,7,Rear,Disc,Disc,Petrol,174002
7,1971,5000,2,18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,10443
8,1971,41882,4,98,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,21669
9,1959,43000,2,200,4200,6,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,104341
10,2005,119019,3,456,6750,8,4,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,34895
11,2008,62850,1,530,3600,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,145328
12,2016,14000,1,241,1742,4,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,83542
13,2013,124500,2,350,3436,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,60829
14,1956,22767,2,193,3417,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,73012
15,1997,48556,2,485,5473,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,126140
16,1947,96178,1,91,3700,6,2,Left (LHD),Manual,3,Rear,Drum,Drum,Petrol,28282
17,1980,189078,2,218,3430,6,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,28282
18,1982,144472,2,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,119657
19,2006,73600,1,355,3824,6,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,63527
20,2021,1275,1,730,3982,8,2,Left (LHD),Semi-Automatic,7,Rear,Disc,Disc,Petrol,408138
21,2008,30900,2,612,5980,12,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,172306
22,1964,8000,1,75,1582,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,90504
23,2002,129188,2,343,3246,6,2,Left (LHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,43507
24,2007,18000,1,230,1998,4,2,Left (LHD),Manual,6,Front,Disc,Disc,Petrol,25672
25,2009,19000,1,230,1998,4,2,Left (LHD),Manual,6,Front,Disc,Disc,Petrol,47863
26,2011,49949,1,435,4663,8,4,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,51048
27,2022,3300,1,830,6496,12,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,435028
28,2002,83300,2,354,5439,8,5,Left (LHD),Automatic,5,4WD,Disc,Disc,Petrol,57000
29,2014,72099,1,350,3436,6,2,Right (RHD),Automatic,7,Rear,Disc,Disc,Petrol,54995
30,1963,77473,6,69,1150,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,23061
31,1990,18749,1,390,4943,12,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,139995
32,2005,49600,1,612,5980,12,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,85857
33,1967,322000,4,101,1778,4,5,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,12183
34,1985,192000,2,204,3839,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,16099
35,2004,102369,1,343,3246,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,36985
36,2002,132000,2,343,3246,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,37855
37,1968,73578,3,255,4014,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,117481
38,1957,15,3,106,2,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,83542
39,1960,71788,2,60,948,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,21321
40,2011,82763,1,440,4691,8,4,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,65093
41,2017,27751,1,560,5935,12,4,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,112956
42,2006,80052,4,528,5935,12,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,126009
43,2022,17500,1,600,3996,8,5,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,121789
44,1965,98308,4,245,3692,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,171870
45,2009,12800,2,345,3614,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,65267
46,1990,218500,2,205,2972,8,4,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,17200
47,2008,38000,2,620,5999,12,2,Left (LHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,143588
48,2018,10700,2,700,3800,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,339390
49,1990,81300,1,250,3,6,2,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,68748
50,1965,72597,6,300,3967,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,256718
51,1999,73971,2,400,4941,8,4,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,52127
52,1994,143852,3,115,1984,4,5,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,7397
53,1984,77458,3,125,1984,4,2,Left (LHD),Manual,5,Rear,Disc,Drum,Petrol,10269
54,1972,82862,3,100,1608,4,4,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,10878
55,1978,124000,2,240,4474,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,17318
56,2000,59990,3,363,3996,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,26977
57,1974,38082,1,132,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,23931
58,1990,4820,1,29,597,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,18275
59,1985,148600,2,286,3430,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,56521
60,2011,67400,1,385,5000,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,43424
61,1987,155064,3,230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,31328
62,2020,22800,3,385,2981,6,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,115741
63,2006,110000,2,560,5998,12,4,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,26020
64,1992,72000,2,326,4973,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,73099
65,1976,101000,4,286,6834,8,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,87023
66,1980,80836,3,63,1,4,0,Left (LHD),Manual,4,Front,Disc,Disc,Petrol,16447
67,1967,48443,6,130,2496,6,4,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,16447
68,1962,158170,6,120,2195,6,4,Left (LHD),Automatic,4,Rear,Disc,Drum,Petrol,18188
69,1964,25128,6,120,2195,6,4,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,17318
70,1958,139537,6,106,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,104341
71,1999,33268,6,363,3996,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,21669
72,1971,46487,2,232,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,64832
73,2008,118161,6,207,2720,6,4,Left (LHD),Automatic,6,Rear,Disc,Disc,Diesel,26020
74,1982,76500,3,132,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,26020
75,2000,208300,1,367,5786,12,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,6953
76,1976,123500,1,217,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,27200
77,1960,156000,3,68,1897,4,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,21797
78,1958,223000,3,106,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,70978
79,2014,34500,2,400,3604,6,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,52127
80,2007,163000,2,510,6208,8,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,29579
81,1969,78214,2,250,6332,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,78234
82,1999,200000,2,363,3996,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,18275
83,1974,119656,6,106,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,15534
84,1991,43133,6,390,4942,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,155336
85,1971,22780,3,18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,13837
86,1991,7400,2,228,4942,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,155771
87,1959,73971,6,106,2195,6,4,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,18971
88,2000,41000,2,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,207985
89,1976,8655,2,132,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,21756
90,2008,35736,3,510,4308,8,2,Left (LHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,260199
91,2007,73000,2,265,2996,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,23409
92,1991,25081,1,300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,78321
93,1995,22658,1,131,1747,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,15621
94,1987,28968,2,270,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,92244
95,1984,3000,3,325,3475,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,91374
96,2019,2000,1,550,5,8,2,Right (RHD),Manual,7,Rear,Disc,Disc,Petrol,112260
97,1964,48321,6,1,1,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,69183
98,2010,129465,2,385,5000,8,4,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,28282
99,2004,63318,1,298,4196,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,21712
100,1957,73971,2,106,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,75710
101,1964,125000,4,75,1720,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,130535
102,1973,160500,2,225,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,33060
103,2008,13000,1,517,5935,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,178388
104,1997,73971,1,113,2495,4,3,Left (LHD),Manual,5,4WD,Disc,Disc,Diesel,44365
105,2011,44790,2,517,5935,12,2,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,76950
106,2005,69300,4,490,4308,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,82585
107,2022,15500,1,400,2480,5,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,60829
108,1980,86350,2,155,1991,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,73883
109,2017,57950,2,550,3996,8,5,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,83455
110,1958,84766,6,106,2195,6,4,Left (LHD),Automatic,4,Rear,Drum,Drum,Petrol,24323
111,2002,126485,6,306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,21321
112,1984,126994,2,240,2927,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,73926
113,1958,147080,6,100,1991,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,24323
114,2005,128938,6,325,4565,8,5,Left (LHD),Automatic,5,4WD,Disc,Disc,Petrol,12966
115,1999,196051,6,140,1839,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,7745
116,1961,129636,4,224,3800,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,30371
117,1959,73971,2,44,948,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,22404
118,2017,4575,1,547,5935,12,2,Right (RHD),Automatic,6,Rear,Disc,Disc,Petrol,185000
119,1965,73971,2,37,843,4,2,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,8702
120,1993,69000,2,300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,60742
121,1991,166900,2,279,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,39117
122,2003,158455,6,500,5439,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,32634
123,1996,166000,1,311,5994,12,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,17404
124,2004,53694,1,381,3598,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,178310
125,1971,76037,1,44,1493,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,36550
126,2005,73000,2,306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,19580
127,1978,72984,2,225,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,36811
128,2001,101195,6,400,4941,8,4,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,63092
129,1971,20734,3,140,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,95290
130,2003,3832,6,420,5935,12,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,82628
131,1977,125962,6,175,2687,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,71794
132,1968,168000,3,269,4235,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,78234
133,1984,68000,1,231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,33939
134,2004,175969,1,298,4196,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,14750
135,1961,408,1,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,131405
136,1991,270278,5,115,1598,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,6005
137,1974,8417,6,195,2593,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,76145
138,1959,118131,1,115,2195,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,47428
139,1977,19333,6,63,1798,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,16491
140,1977,144000,6,200,2994,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,89199
141,2021,59,1,571,6592,12,4,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,329817
142,1995,2200,1,131,1747,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,26542
143,2006,99800,3,355,3824,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,60742
144,2006,33616,1,355,3824,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,66573
145,1989,68501,1,250,3600,6,2,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,94855
146,2021,6886,1,601,6592,12,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,513436
147,2020,6336,1,601,6592,12,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,348092
148,2022,88,1,571,6592,12,5,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,378550
149,2019,29503,1,571,6592,12,5,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,312413
150,2018,23750,2,450,2981,6,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,95638
151,1986,85000,2,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,117481
152,1996,225308,2,240,3980,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,39160
153,1973,79000,2,125,1991,4,4,Left (LHD),Manual,5,Front,Disc,Drum,Petrol,11052
154,1951,10000,3,16,569,4,3,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,19580
155,2021,3000,1,540,2891,6,4,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,221909
156,1960,24313,3,254,3442,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,121397
157,1995,98000,1,302,5993,12,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,25237
158,1935,1000,1,35,1196,4,2,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,25237
159,2006,156000,1,435,5204,10,5,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,22626
160,1967,67000,1,18,499,2,3,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,6962
161,1987,165000,1,160,1985,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,12183
162,2012,180000,1,300,2500,4,4,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,28631
163,2011,185000,2,400,4806,8,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,30371
164,1956,72000,3,193,3442,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,78321
165,2007,75639,2,272,3498,6,2,Right (RHD),Automatic,7,Rear,Disc,Disc,Petrol,11950
166,1950,5209,1,52,1767,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,108561
167,2008,119119,2,525,6209,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,23931
168,1960,241,3,100,1991,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,38943
169,1993,43800,1,300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,62570
170,2004,184999,1,122,2495,4,5,Left (LHD),Manual,5,4WD,Disc,Drum,Diesel,30100
171,1991,1,1,113,2495,4,5,Left (LHD),Automatic,5,4WD,Disc,Drum,Diesel,40466
172,1976,142000,3,217,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,32590
173,2001,73971,2,63,1275,4,2,Right (RHD),Manual,4,Front,Disc,Disc,Petrol,25933
174,1960,12545,3,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,101817
175,1983,225249,6,218,3818,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,25672
176,2001,40571,1,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,217122
177,2006,70853,1,265,2996,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,26063
178,1984,104742,2,286,3430,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,66094
179,1958,2743,2,106,2195,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,60481
180,2002,78420,2,354,3199,6,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,25063
181,1989,50066,3,217,3164,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,206680
182,1988,73971,1,217,3164,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,87023
183,1952,2,6,16,569,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,13489
184,1995,61927,2,320,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,95725
185,1995,73971,1,55,1239,4,3,Left (LHD),Manual,5,Front,Disc,Drum,Petrol,6266
186,1958,1176,4,100,1330,4,2,Right (RHD),Manual,4,Rear,Disc,Drum,Petrol,49500
187,2018,1142,1,305,2498,4,4,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,95725
188,2000,81400,3,284,3996,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,24192
189,1957,20200,4,106,2195,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,39944
190,2008,72250,3,525,6208,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,57348
191,2001,40616,3,370,3217,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,34808
192,1982,266624,6,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,43424
193,2000,163560,2,400,4941,8,4,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,33608
194,2011,17800,2,525,5204,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,78147
195,2014,189800,1,410,2979,6,4,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,26107
196,2011,65017,2,122,2198,4,3,Right (RHD),Manual,6,4WD,Disc,Disc,Diesel,29995
197,1984,41473,3,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,195802
198,1960,88125,4,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,143588
199,1998,71318,2,363,3996,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,27847
200,1970,80000,2,18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,13271
201,1971,50298,1,250,6332,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,35244
202,2007,84213,3,420,4163,8,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,60481
203,1987,76000,1,204,1993,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,50038
204,1984,181194,4,231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,37855
205,2018,93386,2,300,2993,6,5,Left (LHD),Automatic,8,4WD,Disc,Disc,Diesel,29297
206,1984,114000,1,115,3532,8,5,Left (LHD),Manual,5,4WD,Disc,Drum,Petrol,30458
207,2022,14896,1,440,2894,6,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,91277
208,2002,41000,2,260,1781,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,51344
209,2008,67481,3,316,3498,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,34808
210,1990,17081,2,300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,304580
211,2015,33989,3,560,3855,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,134885
212,2013,14964,1,660,6262,12,2,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,435114
213,2004,24168,3,500,4961,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,91373
214,2000,30000,1,220,2959,6,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,39160
215,1958,73971,1,75,1897,4,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,8615
216,2014,73971,1,122,2198,4,5,Left (LHD),Manual,6,4WD,Disc,Disc,Diesel,100076
217,2001,26000,6,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,189275
218,1987,73971,3,40,998,4,0,Left (LHD),Manual,4,Front,Disc,Drum,Petrol,17405
219,1997,46115,6,485,5474,12,0,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,130099
220,2018,3178,1,284,3721,6,2,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,56995
221,2004,25642,3,192,1796,4,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,28500
222,1960,697,2,124,2912,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,57870
223,2017,16934,1,547,5935,12,2,Right (RHD),Automatic,6,Rear,Disc,Disc,Petrol,92950
224,1986,18500,1,133,3532,8,5,Left (LHD),Manual,5,4WD,Disc,Drum,Petrol,34722
225,1972,143000,3,225,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,24366
226,2021,690,1,510,3982,8,2,Left (LHD),Manual,8,Rear,Disc,Disc,Petrol,216687
227,2015,75000,2,122,2198,4,5,Left (LHD),Manual,6,4WD,Disc,Disc,Diesel,65267
228,1973,36259,4,115,1991,4,4,Left (LHD),Manual,5,Front,Disc,Drum,Petrol,17405
229,1988,69656,2,200,6750,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,87023
230,2019,48452,3,635,5950,12,3,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,173872
