,Year of manufacture,Kilometer,Previous owners,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (Â£)
463,1956,30605,6,105,1900,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,104384
464,1965,62000,2,51,1493,4,5,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,86588
465,1981,67000,2,29,602,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,13053
466,1987,54497,6,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,125748
467,2014,70300,2,507,3993,8,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,103992
468,2010,73480,5,630,5998,12,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,69575
469,1994,73971,6,100,1994,4,2,Right (RHD),Manual,5,Rear,Disc,Drum,Petrol,25895
470,2008,79000,1,355,3824,6,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,60046
471,2017,96081,6,160,1998,4,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,20446
472,1989,73971,3,72,2400,4,3,Left (LHD),Manual,4,4WD,Disc,Drum,Diesel,19928
473,2004,85000,6,405,6761,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,38247
474,2014,30000,2,550,5000,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,62221
475,2022,85,1,500,3996,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,191451
476,2017,71105,3,420,2981,6,2,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,113122
477,2004,88270,1,450,3598,6,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,81724
478,1983,191512,1,204,3839,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,23409
479,1992,20600,2,300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,97379
480,2008,30331,2,517,5935,12,2,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,124950
481,1975,83500,2,37,1192,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,23409
482,1987,101492,6,270,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,77886
483,1960,36798,6,120,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,71794
484,1961,51483,1,224,3781,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,24236
485,1971,102916,3,165,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,27847
486,2014,59788,1,385,5000,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,60873
487,1999,32644,6,255,3518,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,46992
488,2000,90300,3,363,3996,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,39073
489,1965,36000,1,120,2195,6,4,Left (LHD),Automatic,4,Rear,Disc,Drum,Petrol,25663
490,1989,28607,1,390,4943,12,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,152290
491,1989,12262,2,215,3532,8,3,Left (LHD),Manual,5,4WD,Disc,Drum,Petrol,121832
492,1959,73971,3,44,948,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,13837
493,1950,34639,4,52,1767,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,152290
494,2006,90123,1,250,3189,6,3,Right (RHD),Manual,6,4WD,Disc,Disc,Petrol,16995
495,2001,149,3,284,3,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,16421
496,1959,7800,4,106,2195,6,2,Left (LHD),Automatic,4,Rear,Drum,Drum,Petrol,74161
497,2022,5184,1,482,6162,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,103977
498,1960,73971,1,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,102687
499,1963,60900,3,55,1988,4,4,Left (LHD),Automatic,4,Rear,Drum,Drum,Diesel,34374
500,1971,74315,6,85,1563,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,59611
501,1998,115269,6,326,5400,12,0,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,51779
502,2003,98315,2,500,5439,8,2,Left (LHD),Semi-Automatic,5,Rear,Disc,Disc,Petrol,33504
503,1947,47927,6,90,2443,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,256718
504,2002,73840,6,306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,30415
505,1979,81669,1,218,3453,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,43468
506,1981,102000,3,177,1984,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,18209
507,2013,62000,3,460,4691,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,62221
508,1987,107600,2,230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,19406
509,1977,132355,3,125,1984,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,9573
510,1975,79976,2,105,1275,4,2,Left (LHD),Manual,4,Front,Disc,Drum,Petrol,42206
511,1958,65129,1,115,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,126183
512,1975,23382,1,44,1483,4,6,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,47863
513,1970,219000,2,125,2195,6,2,Left (LHD),Semi-Automatic,4,Rear,Disc,Disc,Petrol,102252
514,2023,161,1,530,4395,8,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,240000
515,2016,54235,2,632,6592,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,170000
516,2012,12500,1,560,5204,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,127837
517,2012,9900,1,661,4935,8,2,Left (LHD),Manual,7,Rear,Disc,Disc,Petrol,251496
518,1983,82469,6,231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,36985
519,1986,124,6,33,602,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,36985
520,1964,3442,6,75,1600,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,86588
521,1957,12400,2,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,112695
522,1970,1200,5,180,2195,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,248016
523,1976,80756,6,260,2994,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,130491
524,1972,36434,6,140,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,117046
525,1961,27738,3,112,1570,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,53954
526,1998,74133,6,485,5473,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,110954
527,1954,24062,5,110,2660,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,95290
528,2006,25265,2,265,2996,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,29007
529,1981,74253,2,90,2307,4,3,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,43042
530,1966,4600,2,44,1493,4,5,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,59089
531,2000,33000,2,204,2792,6,5,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,14707
532,2020,2,1,220,1798,4,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,58044
533,1981,121500,2,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,64832
534,1986,27198,1,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,139995
535,1985,97000,2,295,5343,12,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,17231
536,1977,62033,1,63,1798,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,28282
537,1980,176978,6,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,54389
538,1980,109748,6,205,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,67443
539,1971,155883,6,370,8200,8,2,Left (LHD),Automatic,3,Front,Disc,Drum,Petrol,33895
540,2004,52500,1,420,5935,12,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,93550
541,1972,73971,1,44,1285,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,26020
542,2007,150000,1,122,2498,5,2,Left (LHD),Manual,5,4WD,Disc,Disc,Diesel,23931
543,1965,73971,6,120,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,76145
544,1960,18898,3,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,91287
545,1995,68000,2,192,3946,8,2,Left (LHD),Manual,5,Rear,Disc,Drum,Petrol,37855
546,1989,5900,2,270,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,152290
547,1969,49030,2,18,594,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,11309
548,1973,139376,1,165,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,21321
549,2010,6731,2,160,1796,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,19972
550,2001,996,6,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,304145
551,1960,20693,5,224,3781,6,4,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,40857
552,1981,40468,3,205,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,78321
553,1981,156000,2,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,69531
554,1960,23000,3,115,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,95725
555,1963,49619,6,95,1582,4,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,110954
556,1955,68623,6,90,2660,4,2,Left (LHD),Manual,3,Rear,Drum,Drum,Petrol,82672
557,1977,28600,6,255,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,121789
558,1965,63500,6,300,3967,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,304145
559,1955,19998,6,177,4700,8,2,Left (LHD),Automatic,3,Rear,Drum,Drum,Petrol,47819
560,1956,4445,6,227,5200,8,2,Left (LHD),Automatic,3,Rear,Drum,Drum,Petrol,60873
561,1925,110568,6,70,4700,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,28674
562,1987,186211,6,242,5600,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26063
563,1951,160933,6,28,2500,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,13010
564,2003,83131,6,515,5748,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,221909
565,2009,19040,6,460,6749,12,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,239139
566,1991,23397,4,492,5707,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,254542
567,2009,8998,2,300,3597,6,2,Left (LHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,78234
568,2017,16,1,460,2979,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,86936
569,1962,50823,1,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,130447
570,1989,112000,2,217,3164,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,147069
571,1957,22389,2,100,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,113043
572,1972,15949,1,165,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,43468
573,1970,36000,4,47,843,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,32982
574,1963,76,4,224,3,6,4,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,46035
575,1992,98698,6,260,3600,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,184924
576,2000,167802,6,363,4000,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,16969
577,1956,24000,2,180,3442,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,100076
578,2000,72486,3,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,187012
579,2008,132000,3,245,3498,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,23409
580,1958,4656,3,106,2195,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,34766
581,1973,51199,1,340,4390,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,95725
582,2004,121899,6,456,6750,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,24366
583,1965,109000,6,42,1493,4,3,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,43512
584,1995,67000,4,302,5994,12,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,37855
585,1983,219449,3,265,2993,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,147896
586,1986,76523,6,264,3185,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,107473
587,2020,10200,2,740,6498,12,2,Left (LHD),Semi-Automatic,7,4WD,Disc,Disc,Petrol,399436
588,1982,188000,1,231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26020
589,1936,7744,3,170,4453,6,0,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,251932
590,1991,50926,3,300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,73970
591,2002,44630,1,306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,26063
592,1957,56400,2,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,108779
593,1985,71100,2,295,5343,12,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,8267
594,2014,6759,3,591,6208,8,2,Right (RHD),Automatic,7,Rear,Disc,Disc,Petrol,430000
595,2018,356,1,600,5935,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,435000
596,1938,4884,6,101,1971,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,199718
597,1992,293500,6,141,1985,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,8659
598,1955,21773,6,188,4300,8,2,Left (LHD),Automatic,3,Rear,Drum,Drum,Petrol,69575
599,1974,122764,6,101,1800,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,12966
600,1992,272900,1,326,4973,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,36115
601,1973,82453,3,140,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,86946
602,2001,37015,1,326,5379,12,4,Right (RHD),Automatic,5,Rear,Disc,Disc,Petrol,55000
603,1977,63178,6,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,130099
604,1962,10046,2,60,1582,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,34500
605,1970,111000,2,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,130360
606,1977,31785,4,211,6750,8,2,Right (RHD),Automatic,3,Rear,Disc,Disc,Petrol,150000
607,1997,18370,2,405,6750,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,117481
608,2001,67204,2,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,184393
609,2013,36000,2,122,2198,4,5,Left (LHD),Manual,6,4WD,Disc,Disc,Diesel,51344
610,2004,64790,3,360,3246,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,134886
611,2016,21871,5,537,6752,8,4,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,100000
612,1958,20178,6,30,1191,4,3,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,64832
613,1976,96861,6,255,2926,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,173611
614,1983,238435,6,204,2994,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,49560
615,2013,71787,4,507,3993,8,2,Left (LHD),Automatic,8,4WD,Disc,Disc,Petrol,78147
616,1955,73971,1,90,2660,4,2,Left (LHD),Manual,3,Rear,Drum,Drum,Petrol,102687
617,1955,1843,6,12,295,1,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,32634
618,1997,54666,6,354,3506,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,56565
619,1982,74000,2,125,1984,4,2,Left (LHD),Manual,5,Rear,Disc,Drum,Petrol,12618
620,2008,124367,1,416,4196,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,43337
621,1961,73971,3,78,2286,4,2,Left (LHD),Manual,4,4WD,Drum,Drum,Petrol,58741
622,1986,8333,1,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,169695
623,1963,146000,4,110,2195,6,4,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,23931
624,2003,48174,6,580,6192,12,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,234527
625,1947,138,6,48,1486,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,239313
626,2007,109980,2,250,3189,6,4,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,34809
627,1975,101719,1,286,6834,8,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,67443
628,1975,93000,3,195,2593,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,67617
629,1969,5350,3,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,104428
630,2018,27842,3,601,6592,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,230000
631,1997,160725,3,284,3996,8,2,Right (RHD),Automatic,5,Rear,Disc,Disc,Petrol,17144
632,1975,21560,3,175,2687,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,49500
633,2003,66777,6,420,5935,12,2,Right (RHD),Automatic,5,Rear,Disc,Disc,Petrol,28000
634,1999,76900,6,485,5473,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,115305
635,2008,40652,5,460,6749,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,170000
636,2021,8369,1,600,6592,12,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,390000
637,1989,103803,6,218,4196,8,2,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,80000
638,2006,76764,2,520,4961,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,81367
639,1974,120500,3,182,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,33852
640,1951,11900,3,80,2195,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,60829
641,1981,154000,3,218,3818,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,28718
642,1976,75000,3,182,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,25237
643,1981,32194,5,155,2307,4,3,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,77886
644,1982,41395,6,158,3793,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,45687
645,1960,21504,6,44,948,4,2,Right (RHD),Manual,4,Rear,Disc,Drum,Petrol,16995
646,1987,37350,3,242,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,76145
647,1982,136416,3,218,3818,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,18275
648,1972,49320,3,130,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,94855
649,2003,46510,5,460,5935,12,2,Right (RHD),Semi-Automatic,6,Rear,Disc,Disc,Petrol,55000
650,1960,536,3,250,2912,6,2,Right (RHD),Manual,4,Rear,Disc,Drum,Petrol,165000
651,1959,46482,6,269,3781,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,338955
652,1990,48260,1,210,2959,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,69183
653,1984,32000,2,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,91492
654,1985,174169,6,204,3839,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,28674
655,1991,73971,3,215,2302,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,91374
656,1970,85750,3,180,2195,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,130457
657,1971,10696,6,250,6299,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,47428
658,2011,38302,6,630,5998,12,2,Right (RHD),Automatic,6,4WD,Disc,Disc,Petrol,65000
659,1970,100842,6,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,68313
660,1971,380,6,34,1192,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,33504
661,1963,300,1,411,5354,8,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,1122597
662,1986,49000,2,230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,52040
663,1977,92578,6,52,1600,4,2,Left (LHD),Manual,3,Front,Drum,Drum,Petrol,29588
664,1959,120764,6,103,1991,8,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,225390
665,2010,42809,5,740,5998,12,2,Right (RHD),Automatic,6,4WD,Disc,Disc,Petrol,60000
666,1986,96047,2,295,5345,12,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,23888
667,1964,16839,4,240,2953,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,343741
668,1967,62716,6,150,2496,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,63092
669,2002,6900,1,450,3598,6,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,113043
670,1999,73971,2,326,5379,12,4,Right (RHD),Automatic,5,Rear,Disc,Disc,Petrol,50000
671,2003,24784,5,426,6750,8,2,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,130000
672,1971,111378,6,200,3499,8,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,86153
673,2017,3104,1,580,5935,12,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,395000
674,1956,54349,6,10,200,1,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,24802
675,1953,51705,6,115,2996,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,163168
676,1952,26477,4,115,2996,6,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,199283
677,2015,1637,1,131,1496,4,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,23931
678,1982,171043,2,127,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,23279
679,1955,73971,1,44,1290,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,242794
680,1978,67900,4,129,2,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,24279
681,1960,19894,6,20,392,2,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,27412
682,1972,131755,3,211,6750,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,63092
683,1969,85769,6,14,245,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,24802
684,1961,52068,6,14,400,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,17187
685,2013,16576,3,625,5998,12,4,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,59995
686,2010,62764,6,630,5998,12,2,Right (RHD),Automatic,6,4WD,Disc,Disc,Petrol,46500
687,2008,176710,1,163,1798,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,12966
688,1982,83013,6,127,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,27630
689,2005,29158,3,528,5935,12,2,Right (RHD),Manual,6,Rear,Disc,Disc,Petrol,115000
690,2000,11,1,485,5935,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,450000
691,1959,115902,3,100,2000,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,29501
692,1983,119895,6,231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,27804
693,1971,73971,2,130,2341,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,86936
694,2013,73971,2,339,4367,8,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Diesel,35995
